x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	y
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-20 ℃	DCM	0.167M	1:1.5	NIS_TfOH	77
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-20 ℃	DCM	0.167M	1:1.5	NIS_TfOH	36
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-20 ℃	DCM	0.167M	1:1.5	NIS_TfOH	47
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-20 ℃	DCM	0.167M	1:1.5	NIS_TfOH	62
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-20 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-20 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	40
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	50
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	50
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	38
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	43
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	0 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	32
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	35
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	31
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	25 ℃	DCM	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	23
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	45
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	45
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	47
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	78
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	THF	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	47
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	38
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	20
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	41
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	85
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	70
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	Toluene	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	0
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	18
STol	b	OBn	equatorial	OBn	OBn	axial	OBn	17000	-	-	-	-	-	-	1_OH	tertiary	80	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	40
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	26
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	40
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	62
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	69
STol	b	OBn	equatorial	OBn	OBn	axial	CH3	72000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	100
STol	a	H	equatorial	OBn	OBn	equatorial	OBn	1000000	-	-	-	-	-	-	1_OH	Secondary	1.36	-40 ℃	DCM/ACN	0.167M	1:1.5	NIS_TfOH	100
STol	b	N3	equatorial	OBn	OBn	equatorial	OBn	270	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	No Reaction
STol	b	OBn	equatorial	OBn	OBn	equatorial	OBn	2656	-	-	-	-	-	-	1_OH	primary	100	-40 ℃	DCM/DMF	0.167M	1:1.5	NIS_TfOH	Trace
